N,Site,Tester,Excluded,reason_Excluded,Vid_or_audio,Age,More_sources,Choice,Correct,Explanation:,Rosie_explanation_code,Sami_explanation_code,Final_explanation_code,explanation_mentioned_number,which_numbers,Comments
59,NewHaven_Museum,RA,,,video,5.46201232,Green,Green,1,Because she said 3 of them said it went through the other one,More,More,More,yes,3,minor script experimenter error
60,NewHaven_Museum,RA,Yes,DISTRACTION,video,7.137577002,Green,Green,1,"Because it's like taking votes - one voted blue, and three voted green",Other,More,More,yes,"1, 3",n/a
61,NewHaven_Museum,RA,,,video,7.567419576,Blue,Blue,1,Because there's more people on the blue side than the green,More,More,More,,,n/a
62,NewHaven_Museum,RA,,,video,4.084873374,Blue,Green,0,cuz she knows that they both know they know that the hamster ran out the green door,Other,Other,Other,,,n/a
63,NewHaven_Museum,RA,,,video,6.718685832,Blue,Blue,1,because there's more people that think that it is on the blue side,More,More,More,,,n/a
64,NewHaven_Museum,RA,,,video,4.596851472,Green,Blue,0,Because he ran out of the class,Other,Other,Other,,,n/a
65,NewHaven_Museum,RA,,,video,6.685831622,Green,Green,1,because three people know the way the hamster went,More,More,More,yes,3,n/a
66,NewHaven_Museum,RA,,,NONE,5.045859001,Blue,Blue,1,n/a,N/A,N/A,N/A,,,n/a
67,NewHaven_Museum,RA,,,NONE,4.41615332,Green,Green,1,n/a,N/A,N/A,N/A,,,n/a
68,NewHaven_Museum,RA,,,video,5.727583847,Green,Green,1,n/a,N/A,N/A,N/A,,,n/a
69,NewHaven_Museum,RA,,,video,7.863107461,Green,Green,1,because a lot of students asked her,Less,Other,Other,,,n/a
70,NewHaven_Museum,RA,,,video,6.466803559,Blue,Green,0,because I don't know,N/A,Other,N/A,,,n/a
71,NewHaven_Museum,RA,,,video,4.309377139,Blue,Green,0,n/a,N/A,N/A,N/A,,,n/a
72,NewHaven_Museum,RA,,,video,4.878850103,Blue,Blue,1,because blue is my favorite color,Other,Other,Other,,,n/a
73,NewHaven_Museum,RA,,,NONE,4.355920602,Blue,Green,0,I don't know,N/A,N/A,N/A,,,"first chose blue, then changed answer to green"
74,NewHaven_Museum,RA,,,video,6.767967146,Green,Green,1,Because more people said that it ran through the green door than the blue door,More,More,More,,,n/a
75,NewHaven_Museum,RA,,,video,4.854209446,Blue,Green,0,n/a,N/A,N/A,N/A,,,n/a
76,NewHaven_Museum,RA,Yes,DISTRACTION,video,4.596851472,Green,Green,1,"n/a - kept saying the blue door in explanation (had answered “green” to the test question), but when I re-asked where the hamster went participant said green again (repeating initial answer to test question)",Other,N/A,N/A,,,"there were many interruptions to the experiment, may need to exclude"
77,NewHaven_Museum,RA,,,video,5.700205339,Blue,Blue,1,because there's more people,More,More,More,,,n/a
78,NewHaven_Museum,RA,,,video,7.184120465,Blue,Blue,1,because 3 people told her,More,More,More,yes,3,n/a
79,NewHaven_Museum,RA,,,video,4.191649555,Green,Green,1,Because I she said it,Other,Other,Other,,,n/a
80,NewHaven_Museum,RA,,,video,5.859000684,Green,Green,1,because there's so many students that saw him do it,More,More,More,,,n/a
81,NewHaven_Museum,RA,,,NONE,5.256673511,Green,Green,1,Because he went there for some food,Other,Other,Other,,,n/a
82,NewHaven_Museum,RA,,,video,5.848049281,Blue,Blue,1,Because it has more people,More,More,More,,,n/a
83,NewHaven_Museum,RA,,,video,5.746748802,Blue,Blue,1,Because I think there's more people,More,More,More,,,n/a
84,NewHaven_Museum,RA,,,video,7.110198494,Green,Green,1,Because it's more people,More,More,More,,,n/a
